"dataset_id";"observacao_id";"camada_id";"camada_nome";"amostra_id";"profund_sup";"profund_inf";"acidez_acetcal70_naoh";"aluminio_kcl_naoh";"calcio_kcl_eaa";"magnesio_kcl_eaa";"carbono_cromo_30min150_mohr";"ph_h2o_25_xxx";"fosforo_mehlich1_eam";"potassio_mehlich1_eeac";"sodio_mehlich1_eeac";"dsi_cilindro";"areiafina_naoh_esferas_peneira";"areia_naoh_esferas_peneira";"argila_naoh_esferas_pipeta"
"ctb0036";"ACC-7007-2008";"1";NA;"a";"0";"20";3,64;1,77;1;1,98;5,8;4,7;1,14;0,2;0,23;NA;NA;610;199
"ctb0036";"ACC-8003-2008";"1";NA;"a";"0";"20";3,24;1,52;NA;NA;4,6;4,6;1,25;0,05;0,1;NA;NA;632;204
"ctb0036";"ACC-8004-2008";"1";NA;"a";"0";"20";2,54;0,62;0,71;1,05;6,2;5,2;2,07;0,29;0,29;NA;NA;671;161
"ctb0036";"ACC-8005-2008";"1";NA;"a";"0";"20";2,78;0,85;0,49;0,79;6;4,2;3,04;0,19;0,73;NA;NA;723;134
"ctb0036";"ACC-8006-2008";"1";NA;"a";"0";"20";3,3;1,59;0,69;1,05;5,3;4,5;1,4;0,18;0,28;NA;NA;633;183
"ctb0036";"ACC-8007-2008";"1";NA;"a";"0";"20";3,98;2,72;0,79;1,98;3,2;4,7;0,89;0,17;0,07;NA;NA;567;226
"ctb0036";"ACC-9003-2008";"1";NA;"a";"0";"20";3,7;1,82;0,96;1,32;4,1;4,8;1,25;0,08;0,05;NA;NA;561;282
"ctb0036";"ACC-9004-2008";"1";NA;"a";"0";"20";4,24;2,07;0,69;0,79;6,2;4,6;1,38;0,05;0,07;NA;NA;611;234
"ctb0036";"ACC-9005-2008";"1";NA;"a";"0";"20";NA;0,22;2,3;1,98;6,8;7,3;8,6;0,82;0,76;NA;NA;721;161
"ctb0036";"ACC-9006-2008";"1";NA;"a";"0";"20";NA;0,37;0,83;1,05;5,1;5,6;2,97;0,35;0,17;NA;NA;706;155
"ctb0036";"ACC-9007-2008";"1";NA;"a";"0";"20";2,74;0,72;0,47;0,79;4,6;5,3;1,34;0,4;0,51;NA;NA;678;158
"ctb0036";"ACC-10003-2008";"1";NA;"a";"0";"20";3,3;2,07;0,76;0,92;3,8;4,9;1,53;0,1;0;NA;NA;615;230
"ctb0036";"ACC-10004-2008";"1";NA;"a";"0";"20";3,38;1,17;0,74;0,66;3,4;4,4;0,48;0,03;0,05;NA;NA;619;199
"ctb0036";"ACC-10005-2008";"1";NA;"a";"0";"20";3,1;1,62;0,47;0,53;3,5;4,7;1,04;0,08;0;NA;NA;640;190
"ctb0036";"ACC-10006-2008";"1";NA;"a";"0";"20";4,68;2,42;1,12;1,58;5,2;4,6;1,16;0,05;0,04;NA;NA;519;315
